,GAME_ID,VISITOR_TEAM_ID,HOME_TEAM_ID
318,21900254,4,4
319,21900255,3,4
320,21900256,5,3
321,21900257,3,5
322,21900258,3,3
323,21900259,4,2
324,21900260,5,3
325,21900261,5,4
326,21900262,5,5
327,21900263,3,3
328,21900264,4,4
329,21900265,3,4
330,21900266,3,3
331,21900267,4,3
332,21900268,4,4
333,21900269,3,4
334,21900270,5,4
335,21900271,3,3
336,21900272,5,3
337,21900273,2,4
338,21900274,5,3
339,21900275,4,3
340,21900276,5,5
341,21900277,4,3
342,21900278,3,4
343,21900279,3,4
344,21900280,5,3
345,21900281,3,4
346,21900282,5,3
347,21900283,5,4
348,21900284,4,3
349,21900285,4,3
350,21900286,2,5
351,21900287,4,4
352,21900288,4,4
353,21900289,3,4
354,21900290,2,4
355,21900291,5,4
356,21900292,3,5
357,21900293,3,5
358,21900294,5,4
359,21900295,2,4
360,21900296,3,3
361,21900297,3,4
362,21900298,3,4
363,21900299,4,4
364,21900300,4,2
365,21900301,4,5
366,21900302,4,4
367,21900303,3,5
368,21900304,4,5
369,21900305,4,5
370,21900306,3,5
371,21900307,5,4
372,21900308,3,4
373,21900309,3,2
374,21900310,4,4
375,21900311,3,3
376,21900312,3,3
377,21900313,5,4
378,21900314,4,4
379,21900315,4,4
380,21900316,4,3
381,21900317,5,4
382,21900318,3,5
383,21900319,3,4
384,21900320,3,5
385,21900321,4,3
386,21900322,3,4
387,21900323,5,4
388,21900324,2,3
389,21900325,3,2
390,21900326,4,3
391,21900327,5,5
392,21900328,4,5
393,21900329,4,4
394,21900330,4,4
395,21900331,2,4
396,21900332,4,3
397,21900333,3,3
398,21900334,3,4
399,21900335,5,3
400,21900336,5,4
401,21900337,3,3
402,21900338,5,4
403,21900339,5,2
404,21900340,4,3
405,21900341,3,4
406,21900342,5,4
407,21900343,4,3
408,21900344,4,4
409,21900345,5,3
410,21900346,4,3
411,21900347,4,5
412,21900348,4,4
413,21900349,5,3
414,21900350,2,4
415,21900351,3,3
416,21900352,3,4
417,21900353,5,5
418,21900354,5,2
419,21900355,4,4
420,21900356,3,4
421,21900357,4,3
422,21900358,5,3
423,21900359,5,4
424,21900360,3,3
425,21900361,5,3
426,21900362,4,5
427,21900363,3,3
428,21900364,4,4
429,21900365,3,5
430,21900366,4,3
431,21900367,5,4
432,21900368,4,5
433,21900369,3,4
434,21900370,4,5
435,21900371,3,4
436,21900372,4,4
437,21900373,3,5
438,21900374,5,2
439,21900375,5,3
440,21900376,5,3
441,21900377,4,5
442,21900378,4,5
443,21900379,2,4
444,21900380,5,3
445,21900381,3,4
446,21900382,3,4
447,21900383,2,3
448,21900384,2,4
449,21900385,4,4
450,21900386,4,2
451,21900387,3,4
452,21900388,5,4
453,21900389,3,3
454,21900390,5,5
455,21900391,4,3
456,21900392,4,4
457,21900393,5,3
458,21900394,2,4
459,21900395,4,4
460,21900396,5,3
461,21900397,2,3
462,21900398,4,4
463,21900399,4,3
464,21900400,4,3
465,21900401,5,5
466,21900402,4,3
467,21900403,4,4
468,21900404,3,4
469,21900405,5,5
470,21900406,3,5
471,21900407,5,4
472,21900408,4,4
473,21900409,3,2
474,21900410,2,5
475,21900411,4,5
476,21900412,3,3
477,21900413,3,4
478,21900414,5,5
479,21900415,3,4
480,21900416,4,5
481,21900417,5,4
482,21900418,3,5
483,21900419,3,5
484,21900420,3,4
485,21900421,4,2
486,21900422,4,3
487,21900423,3,3
488,21900424,4,3
489,21900425,4,5
490,21900426,3,3
491,21900427,4,5
492,21900428,5,4
493,21900429,4,3
494,21900430,4,5
495,21900431,4,3
496,21900432,3,3
497,21900433,3,5
498,21900434,4,4
499,21900435,5,2
500,21900436,5,5
501,21900437,3,2
502,21900438,4,4
503,21900439,4,3
504,21900440,5,3
505,21900441,2,4
506,21900442,4,3
507,21900443,5,4
